4385330,699304,"Zync from American Express Style Pack",2.000,Page
4599186,699304,"Zync from American Express Style Pack",2.000,Page
4412637,699304,"Zync from American Express Style Pack",2.000,Page
4148957,578308,"Zoosk, Inc.",1.000,Page
4325765,578308,"Zoosk, Inc.",1.000,Page
4525711,1415745,"Garnier Moisture Rescue",0.142,Page
4559453,366628,"Zigi NY",0.217,Page
4412635,1129051,"Z London at Payless",1.000,Page
9239990,627325,"Young & Posh",0.142,Page
4171370,606738,"Womanity",0.063,Page
5293788,410908,"WMI Media Solutions",0.333,Page
4325802,410908,"WMI Media Solutions",0.333,Page
4578284,410908,"WMI Media Solutions",0.333,Page
4263340,410908,"WMI Media Solutions",0.666,Page
4165085,664567,"Windex Multi-Surface (Original Scent)",0.137,Page
4578195,184906,"White House | Black Market",2.000,Page
4433271,184906,"White House | Black Market",0.333,Page
4559320,184906,"White House | Black Market",2.000,Page
4599223,184906,"White House | Black Market",2.000,Page
4385360,733963,"Weight Watchers PointsPlus",1.000,Page
4599329,733963,"Weight Watchers PointsPlus",1.000,Page
4257703,149695,"Weight Watchers Food",1.000,Page
4433270,1094695,"Walgreens Beauty in the Big Apple",0.076,Page
4158094,692136,"Walgreens Beauty",2.000,Page
4578269,808026,"Wacoal iPant",1.000,Page
4559443,808026,"Wacoal iPant",1.000,Page
4385351,28179,"Volkswagen Jetta",1.000,Page
4599257,28179,"Volkswagen Jetta",4.000,Page
4599267,83070,"Vogue.com",1.000,Page
4599187,83070,"Vogue.com",1.000,Page
5615099,83070,"Vogue.com",1.000,Page
4158311,83070,"Vogue.com",1.000,Page
4158316,735227,"Vogue Wish List App",0.333,Cover
4385343,735227,"Vogue Wish List App",1.000,Page
4599250,735227,"Vogue Wish List App",1.000,Page
4429591,492736,"Vogue Stylist App",1.000,Page
4599264,69906,"Vogue Living:  Houses Gardens People (Book)",1.000,Page
4599215,232270,"Vogue Insiders",1.000,Page
4385375,6053,"Vogue",1.000,Cover
4385376,6053,"Vogue",1.000,Cover
4385377,6053,"Vogue",1.000,Cover
