4412665,"+J Bonding Coat",1.000,"Page"
4158112,"21 Days To A Better You",2.000,"Page"
4412672,"21 Days To A Better You",1.000,"Page"
4559457,"21 Days To A Better You",1.000,"Page"
4578257,"2-Hour Whitening Kit",1.000,"Page"
4513543,"5 Gum Prism",1.000,"Page"
4559362,"7 For All Mankind (Women)",1.000,"Page"
4599201,"7 For All Mankind (Women)",1.000,"Page"
4559447,"A.Jaffe Signature Collection Style No. MES307",1.000,"Page"
4578186,"A|X Armani Exchange (Women)",2.000,"Page"
4559298,"A|X Stylepad App",2.000,"Page"
4158314,"Absolut Vodka",1.000,"Page"
4559446,"Absolut Vodka",1.000,"Page"
4599343,"Academy Of Art University",1.000,"Page"
4325803,"Adam & Eve",0.333,"Page"
4559401,"AG Adriano Goldschmied (Women)",1.000,"Page"
4513521,"Air Optix Aqua",1.000,"Page"
4559369,"Akris",1.000,"Page"
4599310,"Akris",1.000,"Page"
4599290,"Alberta Ferretti",4.000,"Page"
4559373,"Alberta Ferretti",1.000,"Page"
4559339,"Aldo",2.000,"Page"
4158107,"Aldo",1.000,"Page"
4599251,"Aldo",2.000,"Page"
4599316,"Alfani Ruffle Shirt",1.000,"Page"
4559385,"Alfani Ruffle Shirt",1.000,"Page"
4599352,"Allure",2.000,"Cover"
4325794,"Almsed Bikini Emergency Plan",1.000,"Page"
4325795,"Almsed Bikini Emergency Plan",1.000,"Page"
4148947,"Always Infinity",1.000,"Page"
4325773,"Always Infinity",1.000,"Page"
4412655,"Always Infinity",1.000,"Page"
4599344,"American Cancer Society Hope Lodge",1.333,"Page"
4559324,"Andrew Marc",0.333,"Page"
4599243,"Ann Taylor",2.000,"Page"
4559319,"Ann Taylor",2.000,"Page"
4578192,"Ann Taylor",2.000,"Page"
4559347,"Anne Klein Eyewear",1.000,"Page"
4599282,"Anne Klein Eyewear",1.000,"Page"
4412643,"Anne's Inspiration Board",1.000,"Page"
4257695,"Anolon",1.000,"Page"
4385374,"Architectural Digest",2.000,"Cover"
4599346,"Architectural Digest Greenroom",1.000,"Page"
4163506,"Arm & Hammer Baking Soda",0.097,"Page"
